Unnamed: 0,Site_name,Country,Country_code,Latitude,Longitude,Date_Time_UTC,Water_body_type,Water_type,Depth,Chla,TSS,Turbidity,Secchi_depth,Chla_plus_phaeo,aCDOM440,Date,Time,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2607,Garda,Italy,IT,45.4979,10.6127,2017-09-21T12:11,1,6.0,,1.3,1.53,,,,0.08034,2017-09-21,12:11:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2607,Garda,Italy,IT,45.4979,10.6127,2017-09-21T12:11,1,6.0,,1.3,1.53,,,,0.08034,2017-09-21,12:11:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2607,Garda,Italy,IT,45.4979,10.6127,2017-09-21T12:11,1,6.0,,1.3,1.53,,,,0.08034,2017-09-21,12:11:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2607,Garda,Italy,IT,45.4979,10.6127,2017-09-21T12:11,1,6.0,,1.3,1.53,,,,0.08034,2017-09-21,12:11:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2607,Garda,Italy,IT,45.4979,10.6127,2017-09-21T12:11,1,6.0,,1.3,1.53,,,,0.08034,2017-09-21,12:11:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2607,Garda,Italy,IT,45.4979,10.6127,2017-09-21T12:11,1,6.0,,1.3,1.53,,,,0.08034,2017-09-21,12:11:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2607,Garda,Italy,IT,45.4979,10.6127,2017-09-21T12:11,1,6.0,,1.3,1.53,,,,0.08034,2017-09-21,12:11:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2607,Garda,Italy,IT,45.4979,10.6127,2017-09-21T12:11,1,6.0,,1.3,1.53,,,,0.08034,2017-09-21,12:11:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2627,Garda,Italy,IT,45.5106,10.5439,2018-06-27T09:14,1,6.0,,0.572713333333333,,,,,,2018-06-27,09:14:00,0.008500000461935997,0.007600000128149986,0.03400000184774399,0.030400000512599945,0.011099999770522118,0.013100000098347664,0.014600000344216824,0.013899999670684338,0.012000000104308128,0.012400000356137753
2631,Garda,Italy,IT,45.5513,10.6658,2017-09-21T13:35,1,6.0,,1.42960666666667,1.53333333333333,,,,0.035291727,2017-09-21,13:35:00,0.00019999999494757503,0.0008999999845400453,0.034299999475479126,0.03240000084042549,0.004800000227987766,0.002099999925121665,0.0017999999690800905,0.002300000051036477,0.0035000001080334187,0.0008999999845400453
2633,Garda,Italy,IT,45.4979,10.6127,2017-09-21T10:26,1,6.0,,1.29219333333333,1.53333333333333,,,,0.080339624,2017-09-21,10:26:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2633,Garda,Italy,IT,45.4979,10.6127,2017-09-21T10:26,1,6.0,,1.29219333333333,1.53333333333333,,,,0.080339624,2017-09-21,10:26:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2633,Garda,Italy,IT,45.4979,10.6127,2017-09-21T10:26,1,6.0,,1.29219333333333,1.53333333333333,,,,0.080339624,2017-09-21,10:26:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2633,Garda,Italy,IT,45.4979,10.6127,2017-09-21T10:26,1,6.0,,1.29219333333333,1.53333333333333,,,,0.080339624,2017-09-21,10:26:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2633,Garda,Italy,IT,45.4979,10.6127,2017-09-21T10:26,1,6.0,,1.29219333333333,1.53333333333333,,,,0.080339624,2017-09-21,10:26:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2633,Garda,Italy,IT,45.4979,10.6127,2017-09-21T10:26,1,6.0,,1.29219333333333,1.53333333333333,,,,0.080339624,2017-09-21,10:26:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2633,Garda,Italy,IT,45.4979,10.6127,2017-09-21T10:26,1,6.0,,1.29219333333333,1.53333333333333,,,,0.080339624,2017-09-21,10:26:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2633,Garda,Italy,IT,45.4979,10.6127,2017-09-21T10:26,1,6.0,,1.29219333333333,1.53333333333333,,,,0.080339624,2017-09-21,10:26:00,0.0017999999690800905,0.0017000000225380063,0.028599999845027924,0.020099999383091927,0.002300000051036477,0.0032999999821186066,0.0017000000225380063,0.0026000000070780516,0.002099999925121665,0.0008999999845400453
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
2634,Garda,Italy,IT,45.4822,10.5981,2017-09-21T09:51,1,6.0,,1.30454666666667,1.79999999999999,,,,0.03205939,2017-09-21,09:51:00,0.00139999995008111,0.002400000113993883,0.028699999675154686,0.02329999953508377,0.0038999998942017555,0.0020000000949949026,9.999999747378752e-05,0.000699999975040555,0.0015999999595806003,0.0007999999797903001
