Unnamed: 0,Site_name,Country,Country_code,Latitude,Longitude,Date_Time_UTC,Water_body_type,Water_type,Depth,Chla,TSS,Turbidity,Secchi_depth,Chla_plus_phaeo,aCDOM440,Date,Time,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
2605,Garda,Italy,IT,45.4781,10.604,2017-09-21T11:05,1,6.0,,0.4,1.7,,,,0.0415,2017-09-21,11:05:00,0.0020000000949949026,0.002199999988079071,0.04320000112056732,0.04884999990463257,0.00795000046491623,0.004350000061094761,0.0012000000569969416,0.0017000000225380063,0.00215000007301569,0.0017500000540167093
2605,Garda,Italy,IT,45.4781,10.604,2017-09-21T11:05,1,6.0,,0.4,1.7,,,,0.0415,2017-09-21,11:05:00,0.0020000000949949026,0.002199999988079071,0.04320000112056732,0.04884999990463257,0.00795000046491623,0.004350000061094761,0.0012000000569969416,0.0017000000225380063,0.00215000007301569,0.0017500000540167093
2605,Garda,Italy,IT,45.4781,10.604,2017-09-21T11:05,1,6.0,,0.4,1.7,,,,0.0415,2017-09-21,11:05:00,0.0020000000949949026,0.002199999988079071,0.04320000112056732,0.04884999990463257,0.00795000046491623,0.004350000061094761,0.0012000000569969416,0.0017000000225380063,0.00215000007301569,0.0017500000540167093
2605,Garda,Italy,IT,45.4781,10.604,2017-09-21T11:05,1,6.0,,0.4,1.7,,,,0.0415,2017-09-21,11:05:00,0.0020000000949949026,0.002199999988079071,0.04320000112056732,0.04884999990463257,0.00795000046491623,0.004350000061094761,0.0012000000569969416,0.0017000000225380063,0.00215000007301569,0.0017500000540167093
2605,Garda,Italy,IT,45.4781,10.604,2017-09-21T11:05,1,6.0,,0.4,1.7,,,,0.0415,2017-09-21,11:05:00,0.0020000000949949026,0.002199999988079071,0.04320000112056732,0.04884999990463257,0.00795000046491623,0.004350000061094761,0.0012000000569969416,0.0017000000225380063,0.00215000007301569,0.0017500000540167093
2605,Garda,Italy,IT,45.4781,10.604,2017-09-21T11:05,1,6.0,,0.4,1.7,,,,0.0415,2017-09-21,11:05:00,0.0020000000949949026,0.002199999988079071,0.04320000112056732,0.04884999990463257,0.00795000046491623,0.004350000061094761,0.0012000000569969416,0.0017000000225380063,0.00215000007301569,0.0017500000540167093
2605,Garda,Italy,IT,45.4781,10.604,2017-09-21T11:05,1,6.0,,0.4,1.7,,,,0.0415,2017-09-21,11:05:00,0.0020000000949949026,0.002199999988079071,0.04320000112056732,0.04884999990463257,0.00795000046491623,0.004350000061094761,0.0012000000569969416,0.0017000000225380063,0.00215000007301569,0.0017500000540167093
2605,Garda,Italy,IT,45.4781,10.604,2017-09-21T11:05,1,6.0,,0.4,1.7,,,,0.0415,2017-09-21,11:05:00,0.0020000000949949026,0.002199999988079071,0.04320000112056732,0.04884999990463257,0.00795000046491623,0.004350000061094761,0.0012000000569969416,0.0017000000225380063,0.00215000007301569,0.0017500000540167093
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.000750000006519258,0.0012499999720603228,0.029899999499320984,0.025049999356269836,0.004699999932199717,0.0031999999191612005,0.0017500000540167093,0.002400000113993883,0.0020000000949949026,0.001449999981559813
2606,Garda,Italy,IT,45.4822,10.5981,2017-09-21T11:28,1,6.0,,1.3,1.8,,,,0.03206,2017-09-21,11:28:00,0.000750000006519258,0.0012499999720603228,0.029899999499320984,0.025049999356269836,0.004699999932199717,0.0031999999191612005,0.0017500000540167093,0.002400000113993883,0.0020000000949949026,0.001449999981559813
