Station,Date,Time,Alk-Tot,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,O2-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,64.0,12.2,0.6,1232.0,0.02,6.6,0.01,0.08,11.9,6.2,0.2,0.02,6.0,2.0,0.005,7.9,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
RUS00024,2019-06-17,,63.0,12.8,0.7,1230.0,0.02,6.1,0.03,0.08,11.9,6.0,0.3,0.02,5.5,2.0,0.007,7.8,Baikal Lake - Uzur,53.1667,108.0,0.015399999916553497,0.01484999991953373,0.035999998450279236,0.028699999675154686,0.023600000888109207,0.021549999713897705,0.020349999889731407,0.020800000056624413,0.018799999728798866,0.019899999722838402
